city,name,lat,lon,category,tags,popularity,hidden,duration_min,open,closed_days,price_eur
Marseille,Plage des Catalans,43.2865,5.3594,beach,"beach,relax,photo",0.78,0,90,07:00-21:00,,0
Marseille,Vallon des Auffes,43.282,5.3458,viewpoint,"photo,romantic,locals",0.8,0,40,00:00-23:59,,0
Marseille,Fort Saint-Jean,43.2957,5.361,landmark,"history,photo,view",0.82,0,50,10:00-18:00,Tue,9
Marseille,Île du Frioul,43.2775,5.3046,nature,"hike,photo,relax",0.74,0,120,09:00-19:00,,17
Marseille,MuCEM,43.2966,5.36,museum,"art,history,photo",0.82,0,75,10:00-19:00,Tue,11
Nice,Promenade des Anglais,43.6951,7.2659,walk,"photo,beach,iconic",0.92,0,60,00:00-23:59,,0
Nice,Vieux-Nice,43.6958,7.2763,street,"hidden-gem,locals,shopping",0.78,1,60,09:00-22:00,,5
Nice,Colline du Château,43.695,7.2796,viewpoint,"view,photo,romantic",0.87,0,50,08:00-20:00,,0
Nice,Cours Saleya Marché,43.6959,7.2754,food_market,"gourmet,locals,brunch",0.83,0,60,07:00-13:00,Mon,12
Nice,Musée Matisse,43.7205,7.2759,museum,"art,photo,relax",0.78,0,60,10:00-18:00,Tue,10
Nice,Moon Bar Rooftop,43.6959,7.265,food_drink,"nightlife,rooftop,romantic",0.7,0,120,17:00-02:00,Mon,16
Nice,Cap de Nice Coastal Path,43.6958,7.2965,nature,"hike,photo,view",0.76,0,90,07:00-20:00,,0
Nice,Place Masséna,43.696,7.2654,landmark,"photo,locals,iconic",0.82,0,40,00:00-23:59,,0
Nice,Port Lympia Sunset,43.695,7.29,viewpoint,"romantic,photo,relax",0.8,0,45,00:00-23:59,,0
Nice,Rue Bonaparte Bars,43.697,7.289,street,"nightlife,locals,photo",0.68,0,120,18:00-02:00,Mon,12
Nice,Villa Masséna Musée,43.6955,7.2659,museum,"history,photo,art",0.74,0,60,10:00-18:00,Tue,8
Nice,Phoenix Park,43.668,7.216,park,"relax,photo,locals",0.72,0,60,09:00-18:00,,0
Toulouse,Place du Capitole,43.6045,1.444,landmark,"photo,view,iconic",0.9,0,40,07:00-22:00,,0
Toulouse,Quais de la Garonne Sunset Walk,43.6015,1.4336,walk,"romantic,photo,relax",0.84,0,50,00:00-23:59,,0
Toulouse,Jardin Japonais,43.617,1.4333,park,"relax,photo,romantic",0.78,0,45,08:00-19:00,,0
Toulouse,Les Abattoirs,43.6001,1.4306,museum,"art,photo,locals",0.7,0,70,12:00-18:00,Mon,9
Toulouse,Marché Victor Hugo,43.6068,1.4477,food_market,"gourmet,locals,shopping",0.78,0,60,07:00-14:00,Mon,15
Toulouse,Le Père Peinard (bar),43.6021,1.445,food_drink,"nightlife,locals",0.64,0,120,17:00-02:00,Mon,12
Toulouse,Street Art Canal du Midi,43.604,1.452,street_art,"street-art,photo,hidden-gem",0.72,1,45,00:00-23:59,,0
Toulouse,Lac de la Ramée,43.5677,1.3161,nature,"hike,relax,photo",0.66,0,90,07:00-20:00,,0
Toulouse,Cité de l’Espace,43.5861,1.4921,landmark,"science,photo,family",0.8,0,120,10:00-18:00,Tue,25
Toulouse,Daurade Riverside,43.6006,1.4398,viewpoint,"romantic,photo,relax",0.76,0,40,00:00-23:59,,0
Toulouse,Les Carmes Bars,43.5968,1.4435,street,"nightlife,locals,photo",0.68,0,120,18:00-02:00,Mon,12
Toulouse,Halle de la Machine,43.567,1.49,cultural,"art,photo,locals",0.7,0,75,10:00-18:00,Mon,12
Bordeaux,Place de la Bourse & Miroir d’Eau,44.8412,-0.5692,landmark,"photo,view,iconic",0.9,0,40,07:00-22:00,,0
Bordeaux,Darwin Éco-Système,44.8525,-0.5608,cultural,"locals,street-art,hidden-gem",0.78,1,70,09:00-20:00,,0
Bordeaux,Marché des Capucins,44.8298,-0.5653,food_market,"gourmet,locals,shopping",0.8,0,60,06:00-14:00,Mon,15
Bordeaux,Quais de Garonne à vélo,44.8429,-0.5669,walk,"hike,relax,photo",0.78,0,60,00:00-23:59,,0
Bordeaux,CAPC Musée d’Art Contemporain,44.8472,-0.571,museum,"art,photo,modern",0.74,0,60,11:00-18:00,Mon,10
Bordeaux,Base Sous-Marine,44.862,-0.5583,landmark,"photo,art,history",0.76,0,60,10:00-19:00,Mon,9
Bordeaux,Mama Shelter Rooftop,44.8375,-0.5792,food_drink,"nightlife,rooftop,view",0.66,0,120,18:00-02:00,Mon,16
Bordeaux,Rue Sainte-Catherine,44.837,-0.575,shopping,"shopping,locals,photo",0.74,0,60,10:00-20:00,,0
Bordeaux,Jardin Public,44.8487,-0.5717,park,"relax,photo,locals",0.8,0,45,07:00-21:00,,0
Bordeaux,Pont de Pierre Sunset,44.8389,-0.5642,viewpoint,"romantic,photo,view",0.78,0,40,00:00-23:59,,0
Bordeaux,St Michel Flea Market,44.8326,-0.5707,market,"locals,shopping,hidden-gem",0.66,1,60,09:00-18:00,Mon,0
Bordeaux,Chatrons Wine Bars,44.853,-0.579,street,"nightlife,locals,photo",0.68,0,120,18:00-02:00,Mon,14
Nantes,Les Machines de l’Île,47.2065,-1.563,landmark,"photo,art,iconic",0.86,0,60,10:00-18:00,Mon,9
Nantes,Passage Pommeraye,47.214,-1.5598,architecture,"photo,shopping,classic",0.82,0,45,09:00-20:00,,0
Nantes,Trentemoult,47.1909,-1.5948,street,"colorful,locals,hidden-gem",0.72,1,60,09:00-21:00,,0
Nantes,Talensac Market,47.2226,-1.559,food_market,"gourmet,locals,shopping",0.78,0,60,08:00-13:00,Mon,10
Nantes,Île de Versailles,47.2229,-1.5609,park,"relax,photo,romantic",0.76,0,45,07:00-21:00,,0
Nantes,Le Nid (Tour Bretagne),47.2183,-1.5534,viewpoint,"view,photo,nightlife",0.68,0,90,18:00-02:00,Mon,12
Nantes,Quai des Antilles Street Art,47.2062,-1.5638,street_art,"street-art,photo,locals",0.74,1,40,00:00-23:59,,0
Nantes,Erdre Riverside,47.241,-1.553,nature,"hike,relax,photo",0.7,0,90,07:00-20:00,,0
Nantes,Quartier Bouffay Bars,47.2148,-1.5565,street,"nightlife,locals,photo",0.68,0,120,18:00-02:00,Mon,12
Nantes,Jardin des Plantes,47.2206,-1.5424,park,"relax,photo,locals",0.78,0,45,08:00-20:00,,0
Nantes,Muséum d’Histoire Naturelle,47.2136,-1.5636,museum,"science,photo,history",0.72,0,60,10:00-18:00,Tue,6
Nantes,Village de pêcheurs Trentemoult-Bis,47.1905,-1.596,viewpoint,"photo,romantic,locals",0.7,0,40,00:00-23:59,,0
Strasbourg,Petite France,48.5803,7.7417,walk,"photo,romantic,iconic",0.92,0,60,00:00-23:59,,0
Strasbourg,Cathédrale Notre-Dame,48.5818,7.7508,landmark,"photo,history,view",0.93,0,60,07:00-19:00,,0
Strasbourg,Parc de l’Orangerie,48.5954,7.7739,park,"relax,photo,locals",0.84,0,60,07:00-21:00,,0
Strasbourg,Krutenau Street Art,48.5779,7.757,street_art,"street-art,photo,hidden-gem",0.74,1,45,00:00-23:59,,0
Strasbourg,Batorama (bateau),48.5816,7.744,activity,"romantic,photo,view",0.8,0,70,10:00-18:00,,14
Strasbourg,Place Kléber,48.5846,7.7461,landmark,"shopping,locals,photo",0.76,0,40,09:00-20:00,,0
Strasbourg,Ponts Couverts,48.5798,7.737,landmark,"view,photo,iconic",0.88,0,40,08:00-20:00,,0
Strasbourg,Forêt de la Robertsau,48.621,7.798,nature,"hike,relax,photo",0.7,0,120,07:00-20:00,,0
Strasbourg,Musée Alsacien,48.5791,7.75,museum,"history,folk,photo",0.76,0,60,10:00-18:00,Mon,7
Strasbourg,Neudorf Bars,48.567,7.756,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
Strasbourg,Parlement Européen Esplanade,48.5965,7.7723,landmark,"architecture,modern,photo",0.74,0,40,08:00-20:00,,0
Strasbourg,Parc Citadelle,48.5739,7.7716,park,"relax,photo,locals",0.72,0,45,07:00-21:00,,0
Lille,Grand-Place & Vieille Bourse,50.6367,3.0635,landmark,"photo,history,iconic",0.86,0,40,07:00-22:00,,0
Lille,Citadelle Park,50.6409,3.0393,park,"relax,photo,locals",0.78,0,60,07:00-21:00,,0
Lille,La Piscine (Roubaix),50.6921,3.1719,museum,"art,photo,hidden-gem",0.74,1,70,13:00-18:00,Mon,9
Lille,Wazemmes Market,50.6237,3.0435,food_market,"gourmet,locals,shopping",0.8,0,60,07:00-14:00,Mon,12
Lille,Bistro & Rooftop Quai 38,50.6352,3.061,food_drink,"nightlife,rooftop,locals",0.66,0,120,18:00-02:00,Mon,15
Lille,Rue de Gand Bars,50.6403,3.0627,street,"nightlife,locals,photo",0.7,0,120,18:00-02:00,Mon,12
Lille,Saint-Sauveur (Gare St-So),50.6247,3.0669,cultural,"locals,street-art,photo",0.74,1,60,10:00-22:00,Mon,0
Lille,Deûle Riverside,50.651,3.02,nature,"hike,relax,photo",0.68,0,90,07:00-20:00,,0
Lille,Euralille Shopping,50.6389,3.0744,shopping,"shopping,locals,photo",0.7,0,60,10:00-20:00,,0
Lille,Beffroi de l'Hôtel de Ville,50.629,3.062,viewpoint,"view,photo,history",0.76,0,40,10:00-18:00,Tue,8
Lille,LaM (Villeneuve d’Ascq),50.646,3.1585,museum,"art,modern,photo",0.72,0,60,10:00-18:00,Tue,10
Lille,Parc Barbieux (Roubaix),50.6828,3.1692,park,"relax,photo,locals",0.74,0,45,07:00-21:00,,0
Montpellier,Place de la Comédie,43.6086,3.8796,landmark,"photo,iconic,history",0.86,0,40,07:00-22:00,,0
Montpellier,Écusson médiéval,43.6117,3.8766,street,"hidden-gem,locals,shopping",0.74,1,60,09:00-22:00,,0
Montpellier,Promenade du Peyrou,43.6126,3.8669,viewpoint,"view,photo,romantic",0.8,0,45,07:00-21:00,,0
Montpellier,Marché des Arceaux,43.612,3.861,food_market,"gourmet,locals,brunch",0.72,0,50,07:00-13:00,Mon,10
Montpellier,Antigone Street Art,43.608,3.893,street_art,"street-art,photo,modern",0.7,1,40,00:00-23:59,,0
Montpellier,Le Corum Rooftop,43.612,3.882,food_drink,"nightlife,rooftop,view",0.66,0,120,18:00-02:00,Mon,14
Montpellier,Lez Greenway,43.59,3.917,nature,"hike,relax,photo",0.7,0,90,07:00-20:00,,0
Montpellier,Odysseum,43.606,3.921,shopping,"shopping,locals,photo",0.66,0,60,10:00-20:00,,0
Montpellier,Arc de Triomphe,43.6111,3.873,landmark,"photo,history,iconic",0.76,0,30,10:00-18:00,,0
Montpellier,Parc Méric,43.6368,3.9096,park,"relax,photo,locals",0.72,0,45,07:00-21:00,,0
Montpellier,Rives du Lez Bars,43.607,3.887,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
Montpellier,Musée Fabre,43.6115,3.8816,museum,"art,photo,history",0.78,0,60,10:00-18:00,Mon,9
Annecy,Vieille Ville & Canaux,45.8991,6.1286,walk,"photo,romantic,iconic",0.9,0,60,00:00-23:59,,0
Annecy,Pont des Amours,45.9006,6.1297,viewpoint,"view,photo,romantic",0.88,0,30,07:00-22:00,,0
Annecy,Promenade du Lac,45.9,6.14,walk,"relax,photo,nature",0.86,0,60,00:00-23:59,,0
Annecy,Marché Vieille Ville,45.8995,6.128,food_market,"gourmet,locals,shopping",0.76,0,60,07:00-13:00,Mon,10
Annecy,Semnoz Panoramic Hike,45.824,6.097,nature,"hike,photo,view",0.74,0,120,07:00-20:00,,0
Annecy,Haras Street Art,45.902,6.121,street_art,"street-art,photo,hidden-gem",0.68,1,35,00:00-23:59,,0
Annecy,Imperial Casino Rooftop,45.9042,6.1491,food_drink,"nightlife,rooftop,view",0.64,0,120,18:00-02:00,Mon,18
Annecy,Jardins de l’Europe,45.9008,6.1308,park,"relax,photo,locals",0.8,0,45,07:00-21:00,,0
Annecy,Col de la Forclaz View,45.805,6.281,viewpoint,"view,photo,nature",0.82,0,50,07:00-21:00,,0
Annecy,Talloires Bay,45.845,6.214,beach,"relax,photo,swim",0.78,0,90,07:00-21:00,,0
Annecy,Bout du Lac Reserve,45.7977,6.2145,nature,"hike,relax,photo",0.72,0,90,07:00-20:00,,0
Annecy,Café des Arts,45.8985,6.127,food_drink,"locals,gourmet,nightlife",0.66,0,120,18:00-01:00,Mon,14
Avignon,Palais des Papes,43.9506,4.8079,landmark,"history,photo,iconic",0.9,0,75,09:00-19:00,,12
Avignon,Pont Saint-Bénézet,43.954,4.805,landmark,"view,photo,romantic",0.86,0,40,09:00-19:00,,5
Avignon,Rocher des Doms,43.9533,4.8075,viewpoint,"view,relax,photo",0.82,0,45,07:00-21:00,,0
Avignon,Les Halles d’Avignon,43.9487,4.8056,food_market,"gourmet,locals,shopping",0.78,0,60,06:00-13:00,Mon,10
Avignon,Rue des Teinturiers Street Art,43.948,4.807,street_art,"street-art,hidden-gem,photo",0.7,1,40,00:00-23:59,,0
Avignon,Île de la Barthelasse Bike,43.959,4.796,nature,"hike,relax,photo",0.72,0,90,07:00-20:00,,0
Avignon,Le Roof Top Avignon,43.9489,4.805,food_drink,"nightlife,rooftop,view",0.64,0,120,18:00-02:00,Mon,14
Avignon,Rue de la République Boutiques,43.9485,4.8078,shopping,"shopping,locals,photo",0.64,0,60,10:00-20:00,,0
Avignon,Fort Saint-André (Villeneuve),43.9665,4.804,landmark,"history,view,photo",0.76,0,60,10:00-18:00,Tue,7
Avignon,Jardin des Doms Café,43.9537,4.8073,food_drink,"romantic,locals,view",0.66,0,60,09:00-20:00,,8
Avignon,Les Angles Panorama,43.948,4.775,viewpoint,"view,photo,romantic",0.72,0,40,07:00-21:00,,0
Avignon,Parc Chico Mendes,43.939,4.846,park,"relax,locals,photo",0.64,0,45,07:00-21:00,,0
Grenoble,Fort de la Bastille (funiculaire),45.1992,5.7325,viewpoint,"view,photo,iconic,romantic",0.85,0,60,10:00-18:00,,8
Grenoble,Quais de l’Isère & Vieille Ville,45.1949,5.732,walk,"history,photo,locals,relax",0.75,0,60,00:00-23:59,,0
Grenoble,Parc Paul Mistral,45.1859,5.7351,park,"nature,relax,locals,photo",0.7,0,60,07:00-21:00,,0
Grenoble,Marché de l’Estacade,45.1817,5.7088,food_market,"gourmet,locals,hidden-gem,shopping",0.66,1,50,07:00-13:00,Mon,10
Grenoble,Musée de Grenoble,45.1954,5.7326,museum,"art,history,photo",0.78,0,75,10:00-18:00,Tue,8
Grenoble,Street Art Berriat,45.1895,5.7075,street_art,"street-art,photo,locals,hidden-gem",0.68,1,45,00:00-23:59,,0
Grenoble,Rooftop Chamrousse View (navette),45.11,5.875,viewpoint,"nature,view,hike,photo",0.72,0,120,09:00-18:00,,0
Grenoble,La Casamaures,45.2013,5.7168,landmark,"architecture,photo,hidden-gem",0.64,1,45,14:00-18:00,Mon,7
Rennes,Parlement de Bretagne & Place Hoche,48.1144,-1.6778,landmark,"photo,classic,architecture",0.78,0,40,08:00-21:00,,0
Rennes,Parc du Thabor,48.1149,-1.6673,park,"nature,relax,flowers,photo",0.8,0,60,07:00-20:00,,0
Rennes,Maisons à pans de bois (centre),48.1123,-1.6807,street,"history,photo,locals",0.74,0,50,09:00-20:00,,0
Rennes,La Criée Marché Central,48.1108,-1.68,food_market,"gourmet,locals,hidden-gem,shopping",0.68,1,60,07:00-13:00,Mon,12
Rennes,Les Champs Libres,48.1049,-1.6699,cultural,"science,art,photo",0.7,0,75,10:00-19:00,Mon,7
Rennes,Rue de la Soif (bars),48.1118,-1.6798,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
Rennes,Mail François Mitterrand,48.1095,-1.6965,walk,"relax,photo,locals",0.64,0,45,00:00-23:59,,0
Rennes,Halles Centrales (Lices),48.1149,-1.676,food_market,"gourmet,locals,shopping,photo",0.72,0,60,07:00-13:00,Mon,12
Cannes,Boulevard de la Croisette,43.5506,7.0257,walk,"sea,photo,iconic,shopping",0.9,0,60,00:00-23:59,,0
Cannes,Vieux Port & Le Suquet,43.5515,7.0115,walk,"history,view,locals,photo",0.82,0,60,07:00-22:00,,0
Cannes,Marché Forville,43.5524,7.0126,food_market,"gourmet,produce,locals,shopping",0.78,0,60,07:00-13:00,Mon,12
Cannes,Îles de Lérins (Ste-Marguerite),43.5189,7.0627,nature,"boat,hidden-gem,relax,photo",0.7,1,120,09:00-18:00,,16
Cannes,Plage du Midi,43.5465,7.01,beach,"sea,relax,photo",0.76,0,90,07:00-21:00,,0
Cannes,Rooftop 360 Radisson,43.5479,7.0116,food_drink,"nightlife,rooftop,view",0.66,0,120,18:00-01:00,Mon,18
Cannes,Villa Domergue,43.5673,7.0453,landmark,"art,photo,hidden-gem",0.64,1,45,14:00-18:00,Mon,6
Cannes,Rue d’Antibes Boutiques,43.5516,7.0206,shopping,"shopping,locals,photo",0.72,0,60,10:00-20:00,,0
Saint-Malo,Remparts & Intra-Muros,48.6493,-2.0257,walk,"history,photo,iconic,view",0.9,0,60,00:00-23:59,,0
Saint-Malo,Plage du Sillon,48.6568,-2.0076,beach,"sea,relax,photo",0.85,0,60,00:00-23:59,,0
Saint-Malo,Grand Bé à marée basse,48.6507,-2.0267,nature,"tide,hidden-gem,photo",0.68,1,45,10:00-18:00,,0
Saint-Malo,Marché de Rocabey,48.6458,-2.0115,food_market,"locals,produce,seafood,gourmet",0.7,0,50,08:00-13:00,Mon,10
Saint-Malo,Fort National,48.6526,-2.0287,landmark,"history,photo,view",0.74,0,45,10:00-18:00,Mon,8
Saint-Malo,Les Bas Sablons Bars,48.6409,-2.0195,street,"nightlife,locals,photo",0.62,0,120,18:00-02:00,Mon,12
Saint-Malo,Parc de la Briantais,48.6316,-2.0127,park,"relax,photo,view",0.66,0,60,07:00-21:00,,0
Saint-Malo,Cité d’Aleth,48.6363,-2.0174,viewpoint,"view,photo,history",0.68,0,45,07:00-21:00,,0
Reims,Cathédrale Notre-Dame de Reims,49.253,4.034,landmark,"architecture,iconic,photo,history",0.92,0,60,07:30-19:30,,0
Reims,Palais du Tau,49.2537,4.0357,museum,"history,unesco,art,photo",0.78,0,60,09:30-18:30,Mon,8
Reims,Caves Taittinger (visite),49.2382,4.0484,tour,"champagne,cellars,guided,gourmet",0.82,0,90,09:30-17:30,Mon,25
Reims,Parc de Champagne,49.2277,4.0609,park,"nature,relax,locals,photo",0.7,0,60,07:00-21:00,,0
Reims,Halles du Boulingrin,49.2637,4.0347,food_market,"gourmet,locals,shopping",0.72,0,60,08:00-18:00,Mon,12
Reims,Street Art Port Sec,49.249,4.047,street_art,"street-art,hidden-gem,photo",0.64,1,45,00:00-23:59,,0
Reims,Cryptoportiques Gallo-Romains,49.258,4.031,landmark,"history,photo,hidden-gem",0.66,1,40,10:00-18:00,Mon,5
Reims,Place d’Erlon Bars,49.2572,4.0289,street,"nightlife,locals,photo",0.64,0,120,18:00-02:00,Mon,12
Dijon,Palais des Ducs & Musée des Beaux-Arts,47.322,5.041,landmark,"art,architecture,iconic,photo",0.86,0,75,09:30-18:00,Mon,0
Dijon,Parcours de la Chouette,47.3226,5.0415,walk,"history,locals,hidden-gem,photo",0.74,1,60,00:00-23:59,,0
Dijon,Les Halles de Dijon,47.3222,5.0394,food_market,"gourmet,produce,locals,shopping",0.78,0,60,07:00-13:00,Mon,12
Dijon,Jardin Darcy,47.3247,5.0293,park,"relax,nature,photo",0.72,0,45,07:00-21:00,,0
Dijon,Rue Berbisey Street Art,47.319,5.034,street_art,"street-art,photo,locals",0.64,1,40,00:00-23:59,,0
Dijon,Kir Lake Path,47.332,5.0015,nature,"hike,relax,photo",0.7,0,90,07:00-20:00,,0
Dijon,Quartier des Antiquaires,47.3215,5.0375,street,"shopping,locals,photo",0.66,0,60,10:00-20:00,,0
Dijon,Place du Théâtre Bars,47.323,5.0419,street,"nightlife,locals,photo",0.62,0,120,18:00-02:00,Mon,12
La Rochelle,Vieux Port & Tours,46.1566,-1.1536,landmark,"photo,iconic,sea,history",0.88,0,50,07:00-22:00,,0
La Rochelle,Les Halles de La Rochelle,46.1604,-1.1516,food_market,"gourmet,locals,produce,shopping",0.76,0,60,07:00-13:00,Mon,10
La Rochelle,Plage des Minimes,46.1438,-1.1751,beach,"sea,relax,photo",0.8,0,90,00:00-23:59,,0
La Rochelle,Aquarium La Rochelle,46.1536,-1.1508,aquarium,"family,education,photo",0.84,0,90,09:00-20:00,,17
La Rochelle,Parc Charruyer,46.1608,-1.1593,park,"relax,photo,locals",0.72,0,45,07:00-21:00,,0
La Rochelle,Rue Saint-Nicolas (bars),46.1569,-1.1527,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
La Rochelle,Île de Ré Day Trip,46.197,-1.327,nature,"bike,hike,photo,relax",0.74,0,180,07:00-20:00,,0
La Rochelle,Marché des Minimes,46.143,-1.168,food_market,"locals,gourmet,shopping",0.64,0,60,08:00-13:00,Mon,10
Biarritz,Grande Plage,43.4839,-1.5586,beach,"sea,photo,iconic",0.9,0,60,00:00-23:59,,0
Biarritz,Rocher de la Vierge,43.4831,-1.5699,viewpoint,"view,photo,iconic,romantic",0.88,0,40,07:00-21:00,,0
Biarritz,Les Halles de Biarritz,43.4824,-1.5617,food_market,"gourmet,locals,produce,shopping",0.78,0,60,07:00-13:30,Mon,12
Biarritz,Côte des Basques,43.4774,-1.5678,beach,"surf,sea,photo,relax",0.82,0,90,00:00-23:59,,0
Biarritz,Phare de Biarritz,43.4963,-1.561,landmark,"view,photo,iconic",0.82,0,40,10:00-19:00,Mon,6
Biarritz,Plateau de l’Atalaye,43.4822,-1.5697,viewpoint,"photo,romantic,view",0.8,0,40,07:00-21:00,,0
Biarritz,Quartier des Halles (bars),43.4827,-1.561,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
Biarritz,Lac Marion Walk,43.4706,-1.5536,nature,"hike,relax,photo",0.7,0,60,07:00-21:00,,0
Colmar,Petite Venise,48.0745,7.3576,walk,"photo,colorful,iconic,romantic",0.9,0,50,07:00-22:00,,0
Colmar,Maison des Têtes,48.0771,7.3557,landmark,"architecture,history,photo",0.8,0,40,09:00-19:00,,0
Colmar,Marché Couvert de Colmar,48.0756,7.3568,food_market,"locals,produce,gourmet,shopping",0.76,0,60,08:00-18:00,Mon,10
Colmar,Musée Unterlinden,48.0796,7.3579,museum,"art,history,alsace,photo",0.78,0,75,09:00-18:00,Tue,13
Colmar,Quais de la Lauch,48.0769,7.3572,walk,"relax,photo,locals",0.74,0,45,00:00-23:59,,0
Colmar,Montagne des Singes (près),48.2493,7.4159,nature,"family,photo,relax",0.7,0,120,10:00-17:00,Mon,8
Colmar,Eguisheim Village Trip,48.0425,7.3063,walk,"hidden-gem,romantic,photo",0.76,1,120,07:00-21:00,,0
Colmar,Rue des Marchands,48.0764,7.3562,street,"shopping,locals,photo",0.68,0,60,10:00-20:00,,0
Rouen,Cathédrale Notre-Dame,49.4403,1.0956,landmark,"architecture,classic,photo,history",0.88,0,60,07:30-19:00,,0
Rouen,Gros-Horloge,49.441,1.0912,landmark,"history,iconic,photo",0.84,0,30,08:00-21:00,,0
Rouen,Rues à colombages,49.4415,1.0905,street,"history,locals,photo",0.74,0,60,00:00-23:59,,0
Rouen,Jardin des Plantes,49.4142,1.0986,park,"nature,relax,locals,photo",0.7,0,60,08:00-18:30,,0
Rouen,Panorama XXL (quais),49.4438,1.0845,viewpoint,"view,photo,modern",0.68,0,45,10:00-19:00,Mon,8
Rouen,Musée des Beaux-Arts,49.4422,1.0939,museum,"art,photo,history",0.76,0,60,10:00-18:00,Tue,8
Rouen,Rue Eau-de-Robec Bars,49.4456,1.112,street,"nightlife,locals,photo",0.66,0,120,18:00-02:00,Mon,12
Rouen,Quai de Seine Walk,49.4425,1.089,walk,"relax,photo,locals",0.72,0,45,00:00-23:59,,0
